,distance,Maxproj_Process_20240923_JC007_wave_48hr_20X_500um_01.tif-1.tif,Maxproj_Process_20240923_JC007_wave_48hr_20X_500um_03.tif-1.tif,MAX_Process_20240923_JC007_wave_48hr_20X_500um_04-1.tif,MAX_Process_20240923_JC007_wave_48hr_20X_500um_05-1.tif,MAX_Process_20240923_JC007_wave_48hr_20X_500um_07-1.tif,Maxproj_Process_20240923_JC007_wave_48hr_20X_500um_02.tif-1.tif,MAX_Process_20240923_JC007_wave_48hr_20X_500um_06-1.tif
0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.2,0.7803694812176531,0.8040246795467911,0.7935945727609426,0.7620271804791117,0.7698529018758413,0.746841877329956,0.7081187472566809
2,0.30000000000000004,0.6330732070347019,0.7129413376291788,0.6770551744251064,0.7068299716735199,0.7237115986262987,0.6881157310655677,0.5909338685272444
3,0.4,0.48185524468907676,0.5189465012992268,0.544000729853681,0.604464019569515,0.48147210650960637,0.5308952944647858,0.4158899560733387
4,0.5,0.3633191147111567,0.3742906853468974,0.3955077893132659,0.49961030772707044,0.40099193296858776,0.48290913188451196,0.46180383128338404
5,0.6000000000000001,0.21302820593834546,0.25174175711154895,0.24869921809575643,0.3615733294142959,0.2689813935833324,0.2971475086665777,0.46470163082244614
6,0.7000000000000001,0.07203390379020233,0.0972470877165769,0.11647501420070291,0.11367031936140581,0.1481442505632147,0.09823984717700841,0.2974996882594909
7,0.8,0.0083015475069487,0.06801918072857673,0.04409364283752438,0.052366957325440916,0.09617966518406511,0.0,0.10150069617306753
8,0.9,0.0,0.06180454635725038,0.0,0.040068783746192944,0.09840257822244411,0.025660495049905654,0.09939551117343419
9,1.0,0.024218018725298485,0.0,0.00908824984842105,0.0,0.0,0.05162764195079926,0.0
