,distance,MAX_Process_20240923_JC007_wave_48hr_20X_800um_01-1.tif,MAX_Process_20240923_JC007_wave_48hr_20X_800um_03-1.tif,MAX_Process_20240923_JC007_wave_48hr_20X_800um_02-1.tif,MAX_Process_20240923_JC007_wave_48hr_20X_800um_04-1.tif
0,0.1,1.0,1.0,1.0,1.0
1,0.2,0.7649701165677788,0.6740272206630225,0.7459826745127324,0.6007832780027634
2,0.30000000000000004,0.5545873358733304,0.429376864887867,0.46112087879938146,0.4134120987020631
3,0.4,0.4534795112443131,0.30639640383833877,0.3267996564093879,0.34072621303542544
4,0.5,0.21386226799561933,0.08323366284924348,0.10968421023753491,0.19441300648266882
5,0.6000000000000001,0.07025735307573308,0.09519168994725646,0.0,0.15671874367337943
6,0.7000000000000001,0.06788190442022309,0.08373400264523882,0.03232831599914363,0.10937057131857347
7,0.8,0.38437225114837315,0.09282649085146737,0.09823594435932834,0.06521078578276931
8,0.9,0.08046285335924776,0.0,0.2030759683846229,0.024296735537481486
9,1.0,0.0,0.05964728005149321,0.40417599880744287,0.0
