,distance,Maxproj_Process_20240917_JC007_20X_star_48hr_350um_02.tif-1.tif,MAX_Process_20240917_JC007_20X_star_48hr_350um_06-1.tif,Maxproj_Process_20240917_JC007_20X_star_48hr_350um_03.tif-1.tif,Maxproj_Process_20240917_JC007_20X_star_48hr_350um_01.tif-1.tif,MAX_Process_20240917_JC007_20X_star_48hr_350um_04-1.tif,MAX_Process_20240917_JC007_20X_star_48hr_350um_05-1.tif
0,0.1,1.0,1.0,1.0,1.0,1.0,1.0
1,0.2,0.7752225473709,0.9177310278646377,0.7067149667942272,0.8468114339213997,0.5717808446101452,0.7421535419640006
2,0.30000000000000004,0.6465139994233189,0.762095291566797,0.5944599122787303,0.6136724921347948,0.5591067941599126,0.655129178840903
3,0.4,0.6308720234998333,0.5939197405500515,0.5570998827378847,0.6055878463794431,0.45190662790973646,0.5687837371536301
4,0.5,0.5659228030189295,0.530885556100447,0.502992427992273,0.5429852707935512,0.42022075452488333,0.4534903072166198
5,0.6000000000000001,0.4975541000921139,0.5084083348722848,0.4231997520525322,0.3586379642499266,0.3249816261786813,0.30167095422874757
6,0.7000000000000001,0.38806129422739316,0.2655610745545265,0.26824680270706425,0.19484924406974868,0.17073129067810056,0.14901150312887745
7,0.8,0.18387738131567127,0.015873496926352197,0.052757628131474214,0.17138181219447454,0.05186585318801233,0.04176226842643857
8,0.9,0.16121477486591287,0.0,0.0,0.13121836110158935,0.0,0.0
9,1.0,0.0,0.10849632341145887,0.17663606922294467,0.0,0.03628343120372534,0.059120047887614456
