distance,Maxproj_20260521_J29_20X_Triangle_48hr_450um_01_04.tif.tif,Maxproj_20260521_J29_20X_Triangle_48hr_450um_01_05.tif.tif,Maxproj_20260521_J29_20X_Triangle_48hr_450um_01_03.tif.tif,Maxproj_20260521_J29_20X_Triangle_48hr_450um_01_02.tif.tif
0.1,1.0,1.0,1.0,1.0
0.2,0.4889841734493079,0.4881448152389208,0.6818523811464214,0.3943538461430024
0.3,0.1032929129313075,0.2034730801354205,0.4365171024487047,0.25902352202342166
0.4,0.0140217658863907,0.0528447425374086,0.3895800849066773,0.23431423552363603
0.5,0.0,0.0,0.1542477821037561,0.18372177044573654
0.6000000000000001,0.0703019159765631,0.0118805150085368,0.0,0.02409044136761158
0.7000000000000001,0.2409856477737154,0.0886993449653255,0.0198363061974864,0.0
0.8,0.223371319213393,0.207438639577194,0.3349771969271644,0.06986659505948437
0.9,0.2577037738293415,0.1772432351285287,0.392794433837468,0.30989328269504807
1.0,0.1119405626048636,0.1284674553892427,0.4182230509780522,0.25787563301942085
