Unnamed: 0,distance,MAX_Process_20240329_JC002_square_48hr_20X_800um_01-1.tif,MAX_Process_20240329_JC002_square_48hr_20X_800um_02-1.tif,MAX_Process_20240329_JC002_square_48hr_20X_800um_03-1.tif,Maxproj_20260521_J29_20X_square_48hr_800um_02.tif.tif,Maxproj_20260521_J29_20X_square_48hr_800um_03.tif.tif,Maxproj_20260521_J29_20X_square_48hr_800um_01.tif.tif,Maxproj_20260521_J29_20X_square_48hr_800um_04.tif.tif
0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.2,0.7731156022191913,0.8254338615660496,0.971495512258094,0.7079118080083586,0.8288573900719035,0.7009521463264371,0.6652424186678131
2,0.3,0.252885712582445,0.2266722655222617,0.2719227043312569,0.3596887036348548,0.601839097492393,0.3191253194649486,0.31919037495604835
3,0.4,0.0753183490338752,0.0725227203683053,0.0057189173004203,0.1458803787522212,0.1365369901119226,0.0661556694765659,0.0
4,0.5,0.0883154791556378,0.0507129133902048,0.0088325453528085,0.199244224713755,0.1040049746103883,0.1533125892457598,0.15489172499125614
5,0.6000000000000001,0.0782644398079752,0.057538614926792,0.0076821657980301,0.2898638727756286,0.3629530092230204,0.2832313694647046,0.327666821897565
6,0.7000000000000001,0.0493460512504077,0.0397223492234988,0.0,0.2530015632122314,0.3637802304031536,0.1924325008509047,0.2782602876245038
7,0.8,0.0,0.0205826025514708,0.0150467576612683,0.1231229346672378,0.2273073211703875,0.0797781896322095,0.14141817061801798
8,0.9,0.0267342116563711,0.0476236188640095,0.0667044029281214,0.127589089771941,0.1544785021960441,0.0,0.1295870078914193
9,1.0,0.0565570323536069,0.0,0.0272748941919722,0.0,0.0,0.0538088441383418,0.18077867713974388
