Unnamed: 0,distance,MAX_Process_20240220_JC002_triangle_48hr_row8_01-1.tif,MAX_Process_20240220_JC002_triangle_48hr_row8_02-1.tif,"MAX_20260430_J29_20X_Triangle_48hr_350um_02.vsi - 405, 488, 561.tif","MAX_20260430_J29_20X_Triangle_48hr_350um_01.vsi - 405, 488, 561.tif"
0,0.1,1.0,0.9299896910224634,1.0,1.0
1,0.2,0.9050797561589496,1.0,0.7473839282533264,0.8154478962348086
2,0.3,0.8671639326194563,0.7420269491778831,0.5424658190531181,0.6735455123925511
3,0.4,0.6763077072939929,0.57847615481627,0.5486628117661411,0.734663964859967
4,0.5,0.6021441263233964,0.476441799955149,0.4842900612088449,0.5486513945943515
5,0.6000000000000001,0.5403707190816328,0.2914635834091789,0.4227720316253611,0.2696403459496831
6,0.7000000000000001,0.4343292140592079,0.1257579433957993,0.2697862824044526,0.13146088327568572
7,0.8,0.1827335068292795,0.0432280232075959,0.1133160165394993,0.03223818117579469
8,0.9,0.0232340774716981,0.0250684814426532,0.0,0.0
9,1.0,0.0,0.0,0.0211183105689371,0.12401091519146418
