,distance,Maxproj_Process_20240913_JC007_30X_star_48hr_250um_01.tif-2.tif,Maxproj_Process_20240913_JC007_30X_star_48hr_250um_02.tif-1.tif,Maxproj_Process_20240913_JC007_30X_star_48hr_250um_03.tif-1.tif,MAX_Process_20240913_JC007_30X_star_48hr_250um_04-1.tif
0,0.1,1.0,1.0,1.0,1.0
1,0.2,0.5550328308629131,0.8244268730750383,0.4719381713482471,0.8287745090777598
2,0.30000000000000004,0.26836244433938705,0.6546979688577417,0.2953104857294677,0.6514553256937099
3,0.4,0.18619575038357378,0.5570397336774284,0.26325885931224463,0.5943874389453632
4,0.5,0.21090973950261413,0.5014818840500805,0.1150481865360152,0.5482021508464001
5,0.6000000000000001,0.22838183244714702,0.4066271831127147,0.08547785749149531,0.45795975720044935
6,0.7000000000000001,0.14071225012399546,0.297947816867584,0.08439530836550783,0.46016537475164154
7,0.8,0.0,0.11143530095391108,0.06053072512785613,0.3006322501673476
8,0.9,0.15691828023129992,0.0093881245907793,0.0,0.2391917589763865
9,1.0,0.2714521899527958,0.0,0.12826413547966173,0.0
