,distance,Maxproj_Process_20240923_JC007_wave_48hr_30X_250um_02.tif-1.tif,Maxproj_Process_20240923_JC007_wave_48hr_30X_250um_03.tif-1.tif,Maxproj_Process_20240923_JC007_wave_48hr_30X_250um_01.tif-1.tif
0,0.1,1.0,1.0,1.0
1,0.2,0.5989353323586092,0.5568915998674451,0.6052656153431566
2,0.30000000000000004,0.6135823850218854,0.31480412872744085,0.5576263770129474
3,0.4,0.4304575413263871,0.24929895955570588,0.49217806184360147
4,0.5,0.22450764848426027,0.12939848218257563,0.27682753377486086
5,0.6000000000000001,0.18749683380432347,0.0663002214429721,0.07662000102930969
6,0.7000000000000001,0.10014481853912308,0.04721258195938644,0.04786465227990956
7,0.8,0.0,0.043970317465291335,0.07549295579278233
8,0.9,0.1646554329120098,0.06587793801021426,0.17468636339489954
9,1.0,0.1799941908635345,0.0,0.0
