,distance,Maxproj_Process_20240917_JC007_20X_star_24hr_500um_01.tif-1.tif,MAX_Process_20240917_JC007_20X_star_24hr_500um_04-1.tif,Maxproj_Process_20240917_JC007_20X_star_24hr_500um_03.tif-1.tif,Maxproj_Process_20240917_JC007_20X_star_24hr_500um_02.tif-1.tif
0,0.1,1.0,1.0,1.0,1.0
1,0.2,0.6327532113201451,0.7741765171580973,0.7101878803507887,0.5988354906981499
2,0.30000000000000004,0.26850892431385065,0.5042184127226642,0.3690670892133936,0.22106711151602634
3,0.4,0.14926507803374742,0.2928842799415029,0.14000568868918062,0.06472198118925233
4,0.5,0.13358599405664995,0.12087349706333184,0.04247677791533567,0.015947907420163162
5,0.6000000000000001,0.10972716438966439,0.0,0.0,0.04264973724187279
6,0.7000000000000001,0.10918040841108825,0.07380436111289906,0.05278146193441715,0.0796811407821599
7,0.8,0.08664070644910987,0.15712461940842248,0.05934689900927101,0.08934128148792131
8,0.9,0.08521287430013195,0.16839171834012923,0.016799377900426522,0.08057413970047823
9,1.0,0.0,0.10781127125930284,0.07722302722090955,0.0
