,distance,Maxproj_Process_20240923_JC007_wave_48hr_30X_350um_01.tif-1.tif,MAX_Process_20240923_JC007_wave_48hr_30X_350um_05-1.tif,Maxproj_Process_20240923_JC007_wave_48hr_30X_350um_02.tif-1.tif,MAX_Process_20240923_JC007_wave_48hr_30X_350um_06-1.tif,MAX_Process_20240923_JC007_wave_48hr_30X_350um_04-1.tif,Maxproj_Process_20240923_JC007_wave_48hr_30X_350um_03.tif-1.tif
0,0.1,1.0,1.0,1.0,1.0,1.0,1.0
1,0.2,0.6756537847886832,0.8100014799315962,0.7876833909617178,0.7900222320046131,0.8252475832348106,0.8334108268783057
2,0.30000000000000004,0.6500299431854655,0.6813444501455947,0.6621503561964209,0.6798674143391,0.7069393414202231,0.7070388848190696
3,0.4,0.5853052970636573,0.5332359485853881,0.5654170923192844,0.5924452228479467,0.5872081528518001,0.5400711517067875
4,0.5,0.4388029673719709,0.47731729355099395,0.5746079455306882,0.5535443314671353,0.577937667180472,0.4562130017984403
5,0.6000000000000001,0.5628364647256885,0.4776245047428231,0.5787600336874077,0.5171667391311395,0.5808005638959398,0.4734770515731301
6,0.7000000000000001,0.3803473855494239,0.42773044782036307,0.45831221541520883,0.43162302860706,0.41700068178882255,0.4945087450932886
7,0.8,0.31586249910004877,0.38919128098792766,0.1598918579207011,0.342511819913476,0.1856836191501155,0.26348531121305513
8,0.9,0.10953430348996586,0.09449939071516512,0.09206935290730278,0.12584391356351113,0.11535945744145713,0.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0066742252600867314
