,distance,MAX_Process_20240220_JC002_triangle_48hr_row1_02-1.tif,MAX_Process_20240220_JC002_triangle_48hr_row1_01-1.tif
0,0.1,0.9769069471003814,1.0
1,0.2,1.0,0.9474416353247207
2,0.30000000000000004,0.5622268643629205,0.49151945583267626
3,0.4,0.11262693297895757,0.14146329039100866
4,0.5,0.04444201059603944,0.08008797652087077
5,0.6000000000000001,0.10100293223688975,0.12055661854512124
6,0.7000000000000001,0.11018134826444502,0.07443781825794911
7,0.8,0.058629479239589624,0.05495309066545385
8,0.9,0.0,0.044146533866267434
9,1.0,0.02896319448241199,0.0
