,radius,MAX_Process_20240212_JC001_annulusr1.5_48hr_1000um_01-1.tif,MAX_Process_20240212_JC001_annulusr1.5_48hr_1000um_02-1.tif,MAX_Process_20240212_JC001_annulusr1.5_48hr_1000um_03-1.tif,MAX_Process_20240213_JC001_annulusr1.5_48hr_1000um_01-1.tif
0,0.002004008016032064,0.0,0.0,0.0,0.0
1,0.004008016032064128,0.0,0.0,0.0,0.0
2,0.0060120240480961915,0.0,0.0,0.0,0.0
3,0.008016032064128256,0.0,0.0,0.0,0.0
4,0.01002004008016032,0.0,0.0,0.0,0.0
5,0.012024048096192383,0.0,0.0,0.0,0.0
6,0.014028056112224447,0.0,0.0,0.0,0.0
7,0.01603206412825651,0.0,0.0,0.0,0.0
8,0.018036072144288574,0.0,0.0,0.0,0.0
9,0.02004008016032064,0.0,0.0,0.0,0.0
10,0.022044088176352703,0.0,0.0,0.0,0.0
11,0.024048096192384766,0.0,0.0,0.0,0.0
12,0.026052104208416832,0.0,0.0,0.0,0.0
13,0.028056112224448895,0.0,0.0,0.0,0.0
14,0.03006012024048096,0.0,0.0,0.0,0.0
15,0.03206412825651302,0.0,0.0,0.0,0.0
16,0.03406813627254509,0.0,0.0,0.0,0.0
17,0.03607214428857715,0.0,0.0,0.0,0.0
18,0.038076152304609215,0.0,0.0,0.0,0.0
19,0.04008016032064128,0.0,0.0,0.0,0.0
20,0.04208416833667334,0.0,0.0,0.0,0.0
21,0.044088176352705406,0.0,0.0,0.0,0.0
22,0.04609218436873747,0.0,0.0,0.0,0.0
23,0.04809619238476953,0.0,0.0,0.0,0.0
24,0.0501002004008016,0.0,0.0,0.0,0.0
25,0.052104208416833664,0.0,0.0,0.0,0.0
26,0.05410821643286573,0.0,0.0,0.0,0.0
27,0.05611222444889779,0.0,0.0,0.0,0.0
28,0.058116232464929855,0.0,0.0,0.0,0.0
29,0.06012024048096192,0.0,0.0,0.0,0.0
30,0.06212424849699398,0.0,0.0,0.0,0.0
31,0.06412825651302605,0.0,0.0,0.0,0.0
32,0.06613226452905811,0.0,0.0,0.0,0.0
33,0.06813627254509018,0.0,0.0,0.0,0.0
34,0.07014028056112225,0.0,0.0,0.0,0.0
35,0.0721442885771543,0.0,0.0,0.0,0.0
36,0.07414829659318636,0.0,0.0,0.0,0.0
37,0.07615230460921843,0.0,0.0,0.0,0.0
38,0.0781563126252505,0.0,0.0,0.0,0.0
39,0.08016032064128256,0.0,0.0,0.0,0.0
40,0.08216432865731463,0.0,0.0,0.0,0.0
41,0.08416833667334668,0.0,0.0,0.0,0.0
42,0.08617234468937875,0.0,0.0,0.0,0.0
43,0.08817635270541081,0.0,0.0,0.0,0.0
44,0.09018036072144288,0.0,0.0,0.0,0.0
45,0.09218436873747494,0.0,0.0,0.0,0.0
46,0.09418837675350701,0.0,0.0,0.0,0.0
47,0.09619238476953906,0.0,0.0,0.0,0.0
48,0.09819639278557113,0.0,0.0,0.0,0.0
49,0.1002004008016032,0.0,0.0,0.0,0.0
50,0.10220440881763526,0.0,0.0,0.0,0.0
51,0.10420841683366733,0.0,0.0,0.0,0.0
52,0.1062124248496994,0.0,0.0,0.0,0.0
53,0.10821643286573146,0.0,0.0,0.0,0.0
54,0.11022044088176351,0.0,0.0,0.0,0.0
55,0.11222444889779558,0.0,0.0,0.0,0.0
56,0.11422845691382764,0.0,0.0,0.0,0.0
57,0.11623246492985971,0.0,0.0,0.0,0.0
58,0.11823647294589178,0.0,0.0,0.0,0.0
59,0.12024048096192384,0.0,0.0,0.0,0.0
60,0.1222444889779559,0.0,0.0,0.0,0.0
61,0.12424849699398796,0.0,0.0,0.0,0.0
62,0.12625250501002003,0.0,0.0,0.0,0.0
63,0.1282565130260521,0.0,0.0,0.0,0.0
64,0.13026052104208416,0.0,0.0,0.0,0.0
65,0.13226452905811623,0.0,0.0,0.0,0.0
66,0.1342685370741483,0.0,0.0,0.0,0.0
67,0.13627254509018036,0.0,0.0,0.0,0.0
68,0.13827655310621242,0.0,0.0,0.0,0.0
69,0.1402805611222445,0.0,0.0,0.0,0.0
