,radii,0.524,0.698,0.873,1.047,1.222,1.396,1.571
0,0.0,0.09089489640214388,0.09089489640214388,0.09089489640214388,0.09089489640214388,0.09089489640214388,0.09089489640214388,0.09089489640214388
1,0.0039008034319971932,0.0913538216221464,0.09150176422187897,0.0916312674499988,0.09173839641645126,0.09181989606180065,0.09187329006056374,0.09189695606310684
2,0.0078016068639943864,0.0918873688761149,0.09210863204161401,0.09236763849785368,0.09258189643075868,0.09274489572145742,0.09285168371898361,0.09289901572406979
3,0.01170241029599158,0.09244014886194629,0.09271549986134911,0.09310400954570858,0.09342539644506606,0.09366989538111414,0.09383007737740347,0.09390107538503273
4,0.015603213727988773,0.09299292884777768,0.09334583251986865,0.0938403805935635,0.09426889645937346,0.09459489504077091,0.09480847103582332,0.0949031350459957
5,0.019504017159985967,0.09354570883360909,0.09398683842372277,0.09457675164141845,0.09511239647368086,0.09551989470042768,0.09578686469424319,0.09590519470695871
6,0.02340482059198316,0.0940984888194405,0.0946278443275769,0.0953131226892733,0.09595589648798825,0.09644489436008447,0.09676525835266306,0.09690725436792168
7,0.027305624023980353,0.09465126880527189,0.09526885023143107,0.0960494937371282,0.09679939650229565,0.09736989401974118,0.09774365201108291,0.09790931402888461
8,0.031206427455977546,0.09520404879110331,0.09590985613528516,0.09678586478498315,0.09764289651660303,0.09829489367939795,0.09872204566950278,0.09891137368984756
9,0.03510723088797474,0.09575682877693467,0.0965508620391393,0.09752223583283802,0.09848639653091042,0.09921989333905472,0.09968576507263525,0.09989338141058447
10,0.039008034319971935,0.09630960876276613,0.09719186794299345,0.09825860688069295,0.09931931752274026,0.10008151455100084,0.1005856138765632,0.10081629869650677
11,0.042908837751969124,0.09686238874859751,0.09783287384684757,0.09899497792854786,0.10009253669128589,0.1009309534223725,0.10148546268049116,0.10173921598242906
12,0.04680964118396632,0.09748862281383877,0.09852316768288717,0.09966919294789699,0.10086575585983154,0.10178039229374423,0.1023853114844191,0.10266213326835137
13,0.05071044461596351,0.0985506912768303,0.09966090370575532,0.10057097373196246,0.10168337094831417,0.10262983116511595,0.10328516028834706,0.10358505055427367
14,0.054611248047960706,0.09961275973982177,0.10075920016575732,0.10153209176327901,0.10273005799627312,0.10348278144102475,0.104185009092275,0.104507967840196
15,0.058512051479957895,0.1006748282028133,0.10185749662575931,0.10267584597403302,0.1037767450442321,0.1045832344493231,0.10508485789620295,0.10543088512611831
16,0.06241285491195509,0.10171722178636672,0.10295579308576122,0.10383589970377881,0.10482343209219105,0.10568368745762147,0.10600895549823505,0.1063538024120406
17,0.06631365834395228,0.10273810754015651,0.1040540895457632,0.1049959534335247,0.10587011914015,0.10678414046591986,0.10712973775907178,0.1072767196979629
18,0.07021446177594948,0.1037589932939463,0.1051523860057652,0.10615600716327057,0.10691680618810896,0.10788459347421825,0.1082505200199085,0.1081996369838852
19,0.07411526520794667,0.10477987904773611,0.1062506824657671,0.10731606089301635,0.10796349323606794,0.10898504648251657,0.10937130228074521,0.1091225542698075
20,0.07801606863994387,0.10580076480152592,0.1073489789257691,0.10847611462276224,0.10901018028402688,0.11008549949081496,0.11049208454158194,0.11021758155530223
21,0.08191687207194105,0.10682165055531573,0.10844727538577109,0.10963616835250814,0.11013176596698479,0.11118595249911334,0.11161286680241865,0.11132463866682496
22,0.08581767550393825,0.10784253630910551,0.10954557184577299,0.11079622208225393,0.11131541958313429,0.1122864055074117,0.11273364906325536,0.11243169577834768
23,0.08971847893593544,0.10886342206289532,0.11064386830577497,0.1119562758119998,0.11249907319928378,0.11338685851571002,0.11385443132409208,0.11353875288987045
24,0.09361928236793264,0.10988430781668512,0.11174216476577697,0.11311632954174568,0.11368272681543327,0.1144873115240084,0.11497521358492879,0.11464581000139319
25,0.09752008579992984,0.1109051935704749,0.11284046122577887,0.11427638327149146,0.11486638043158276,0.1155877645323068,0.1160959958457655,0.11575286711291591
26,0.10142088923192702,0.11193827232516297,0.11411644680387449,0.11543643700123735,0.11605003404773226,0.11668821754060517,0.11721677810660222,0.11688012258750538
27,0.10532169266392422,0.11334757458103453,0.11560952500123495,0.1167903568321326,0.11723368766388176,0.11778867054890356,0.11834262479960496,0.11801680248773058
28,0.10922249609592141,0.11475687683690619,0.11710260319859547,0.1183302885988453,0.11841734128003126,0.11888912355720188,0.11949137219286256,0.11915348238795578
29,0.11312329952791861,0.11616617909277774,0.11859568139595594,0.11987022036555797,0.11979112579936897,0.11998957656550026,0.12064011958612013,0.120290162288181
30,0.11702410295991579,0.11757548134864933,0.12008875959331639,0.12141015213227067,0.12132833016724756,0.1211037685228522,0.12178886697937774,0.12142684218840619
31,0.12092490639191299,0.11898478360452094,0.12158414179069736,0.1229500838989834,0.1228655345351262,0.1222296793008923,0.12293761437263531,0.12256352208863139
