,radii,0.0,0.196,0.393,0.589,0.785
0,0.0,0.0007971357746099815,0.0007971357746099815,0.0007971357746099815,0.0007971357746099815,0.0007971357746099815
1,0.005927939300687344,0.0008175579450147639,0.0008166794729937906,0.0008150499476041597,0.0008159967541700706,0.0008163066266884747
2,0.011855878601374688,0.0008379801154195464,0.0008362231713775995,0.0008329641205983378,0.0008348577337301598,0.000835477478766968
3,0.017783817902062033,0.0008584022858243288,0.0008557668697614085,0.000850878293592516,0.000853718713290249,0.0008546483308454612
4,0.023711757202749376,0.0008788244562291112,0.0008753105681452175,0.0008687924665866942,0.0008725796928503379,0.0008738191829239545
5,0.02963969650343672,0.0008992466266338937,0.0008948542665290268,0.0008867066395808723,0.0008914406724104273,0.0008929900350024477
6,0.035567635804124066,0.0009196687970386762,0.0009143979649128358,0.0009046208125750503,0.0009103016519705162,0.0009121608870809409
7,0.04149557510481141,0.0009400909674434584,0.0009339416632966446,0.0009225349855692286,0.0009291626315306055,0.000931331739159434
8,0.04742351440549875,0.0009605131378482409,0.0009534853616804538,0.0009404491585634068,0.0009480236110906946,0.0009505025912379273
9,0.053351453706186096,0.0009809353082530234,0.0009730290600642627,0.0009583633315575848,0.0009668845906507836,0.0009696734433164206
10,0.05927939300687344,0.0010013574786578061,0.0009925727584480719,0.000976277504551763,0.0009857455702108728,0.0009888442953949138
11,0.06520733230756079,0.0010246781148349083,0.0010121164568318809,0.0009941916775459414,0.001004606549770962,0.0010080151474734069
12,0.07113527160824813,0.0010489472042157783,0.0010343032293038653,0.0010121058505401194,0.001023467529331051,0.0010436405400635067
13,0.07706321090893548,0.001073216293596648,0.0010573519874420758,0.0010300200235342978,0.001079365931671042,0.0011045385611288161
14,0.08299115020962282,0.001097485382977518,0.0010875378660072173,0.001084173941328162,0.0011383275966242144,0.0011654365821941255
15,0.08891908951031016,0.0011217544723583883,0.0011451515679829732,0.0011415473629697002,0.0011972892615773874,0.001226334603259435
16,0.0948470288109975,0.0011711847591975484,0.0012027652699587292,0.0011989207846112371,0.001258881118195661,0.001287232624324744
17,0.10077496811168485,0.0012268246792507308,0.001260378971934485,0.0012567489463440548,0.0013206741793143299,0.0013481306453900534
18,0.10670290741237219,0.0012824645993039128,0.0013179926739102401,0.001314781699640943,0.0013824672404330002,0.001409028666455363
19,0.11263084671305953,0.0013406664650744216,0.001375606375885996,0.0013728144529378326,0.00144426030155167,0.0014705873691534992
20,0.11855878601374688,0.0013993871382240119,0.00143367202644673,0.0014308472062347208,0.001506053362670339,0.0015337660654091076
21,0.12448672531443422,0.0014581078113736021,0.0014941069440074567,0.0014888799595316102,0.0015678464237890097,0.0015969447616647158
22,0.13041466461512158,0.0015168284845231915,0.0015545418615681827,0.0015469127128284986,0.0016296394849076795,0.0016601234579203237
23,0.1363426039158089,0.0015765241405156726,0.0016149767791289083,0.0016287680615060343,0.0017464888227715436,0.0017541385951546358
24,0.14227054321649626,0.0016505763942240423,0.001684854222063028,0.001764292725855062,0.0018741122498379457,0.001882094621020301
25,0.1481984825171836,0.0017246286479324115,0.00176948557814093,0.0018998173902040874,0.002001735676904346,0.0020100506468859643
26,0.15412642181787095,0.0018054299746834044,0.0018541169342188321,0.002035342054553113,0.0021293591039707443,0.0021534613225289256
27,0.16005436111855828,0.0018998614448956113,0.0019387482902967343,0.0021708667189021405,0.0022577199289464,0.0023171705789096398
28,0.16598230041924564,0.0019942929151078176,0.0020233796463746366,0.0023063913832511674,0.002396461378852622,0.0024808798352903587
29,0.17191023971993297,0.0020887243853200234,0.0021080110024525372,0.0024419160476001926,0.0025352028287588427,0.002644589091671073
30,0.17783817902062032,0.0021831558555322314,0.002199141576164928,0.0025774407119492177,0.0026812229892993846,0.0028082983480517895
31,0.18376611832130765,0.0022775873257444364,0.002322482300416686,0.0027129653762982464,0.002916223028456923,0.0029720076044325036
32,0.189694057621995,0.0023771252768060324,0.0024458230246684437,0.0028484900406472737,0.0031512230676144625,0.0031855401210733494
33,0.19562199692268237,0.002477951445608111,0.002569163748920199,0.0029840147049962993,0.003386223106772001,0.003413720540051055
34,0.2015499362233697,0.0025787776144101894,0.002735880755688914,0.003119539369345326,0.0036212231459295382,0.003641900959028761
35,0.20747787552405705,0.002679603783212268,0.002957899879536987,0.0032550640336943513,0.0038562231850870743,0.003875054622740543
36,0.21340581482474438,0.0027845913908567882,0.0031688918128124103,0.00341900763941386,0.0040912232242446165,0.004250362273030975
37,0.21933375412543174,0.0028987637157939427,0.003356096233967612,0.0037709492706286185,0.004326223263402154,0.0046256699233214165
38,0.22526169342611907,0.003012936040731094,0.003543300655122814,0.004071020977398088,0.0046662220730789164,0.005000977573611849
39,0.23118963272680643,0.00312710836566825,0.0037305050762780133,0.0043700940674581915,0.0050811023974607645,0.0053762852239022905
40,0.23711757202749376,0.0032412806906054023,0.0039177094974332145,0.004669167157518297,0.005496922590645187,0.005751592874192723
41,0.2430455113281811,0.003355453015542556,0.004104913918588417,0.004968240247578407,0.00592413103907171,0.006126900524483165
42,0.24897345062886844,0.0034696253404797096,0.004292118339743616,0.005267313337638514,0.006351339487498239,0.006502208174773597
43,0.2549013899295558,0.0035837976654168636,0.004479322760898819,0.005566386427698617,0.006778547935924769,0.006915914259725264
44,0.26082932923024316,0.0036979699903540177,0.00466652718205402,0.005865459517758724,0.007205756384351298,0.00763436296478197
45,0.26675726853093046,0.003823838418442567,0.004862160824059908,0.006164532607818828,0.0076329648327778275,0.008491163179535759
46,0.2726852078316178,0.003988156324380735,0.0050759436604076525,0.0066168950836857305,0.008160147844453444,0.00933463155476412
