,radii,0.0,0.196,0.393,0.589,0.785
0,0.0,0.03359414887797882,0.03359414887797882,0.03359414887797882,0.03359414887797882,0.03359414887797882
1,0.004191686077978262,0.03364836421594717,0.03364751369738864,0.033644612398747525,0.03363977181530353,0.033641757532246484
2,0.008383372155956524,0.03370257955391553,0.03370087851679846,0.03369507591951623,0.03368539475262826,0.03368936618651416
3,0.012575058233934785,0.033756794891883886,0.03375424333620829,0.03374553944028494,0.03373101768995298,0.03373697484078182
4,0.016766744311913048,0.03381101022985224,0.03380760815561812,0.03379600296105365,0.0337766406272777,0.033784583495049494
5,0.02095843038989131,0.033865225567820595,0.033860972975027936,0.033846466481822365,0.03382226356460242,0.03383219214931716
6,0.02515011646786957,0.03391944090578895,0.03391433779443776,0.03389693000259107,0.03386788650192714,0.033879800803584825
7,0.029341802545847832,0.03397365624375731,0.033967702613847586,0.03394739352335978,0.03391350943925186,0.03392740945785249
8,0.033533488623826095,0.03402787158172567,0.03402106743325742,0.033997857044128485,0.03395913237657658,0.03397501811212017
9,0.03772517470180436,0.03409337144508025,0.03408730041245647,0.034050955424145,0.034004755313901305,0.034022626766387835
10,0.04191686077978262,0.034181577150298154,0.03417483155849396,0.03413444823814789,0.03406621501924256,0.03410697032391947
11,0.04610854685776088,0.03426978285551606,0.03426236270453145,0.034217941052150765,0.034202129168532436,0.03421573015196119
12,0.05030023293573914,0.03435798856073397,0.03434989385056894,0.03431709001918961,0.03433804331782231,0.03432448998000291
13,0.0544919190137174,0.03444619426595187,0.03443742499660643,0.0344512580602601,0.03447395746711218,0.03443324980804464
14,0.058683605091695665,0.034534399971169784,0.03452495614264392,0.03458542610133058,0.034609871616402055,0.03456119366797405
15,0.06287529116967393,0.0346226056763877,0.034616062480469674,0.03471959414240106,0.03474578576569193,0.03469363082094764
16,0.06706697724765219,0.03473510969661299,0.034743328410744734,0.03485376218347154,0.034881699914981794,0.034826067973921224
17,0.07125866332563045,0.03487037835973617,0.034870594341019794,0.03500197010925499,0.03502602367436849,0.03495850512689481
18,0.07545034940360872,0.03502951988439329,0.03502747078023196,0.03516730937696873,0.03519277785767713,0.035102897482926436
19,0.07964203548158698,0.035208425235320986,0.03518504123701587,0.03533264864468247,0.03535953204098578,0.03526465831208226
20,0.08383372155956524,0.035418523753760776,0.03540966097036917,0.0354979879123962,0.035526286224294434,0.035443720069685734
21,0.0880254076375435,0.03564849685267413,0.03563818543598632,0.035663327180109936,0.035693040407603085,0.035661417958004024
22,0.09221709371552177,0.03587846995158747,0.03586670990160347,0.03582866644782368,0.03585979459091173,0.03587911584632232
23,0.09640877979350003,0.03610844305050082,0.036095234367220626,0.03599400571553742,0.03606190729834494,0.03609681373464061
24,0.10060046587147828,0.036338416149414174,0.036323758832837776,0.03615934498325115,0.03627808751551995,0.036314511622958914
25,0.10479215194945654,0.03656838924832752,0.03655228329845493,0.036376287224313436,0.03649426773269495,0.0365322095112772
26,0.1089838380274348,0.03679836234724086,0.036780807764072075,0.03659777184696492,0.036711820960409466,0.036749907399595494
27,0.11317552410541307,0.03702833544615421,0.03700933222968923,0.0368709359063791,0.03695569954189312,0.036967605287913784
28,0.11736721018339133,0.03725830854506756,0.037237856695306396,0.0371574562259322,0.037199578123376764,0.03720395051743526
29,0.12155889626136959,0.03749449372013295,0.03746638116092353,0.037443976545485314,0.037443456704860406,0.03744798525584957
30,0.12575058233934786,0.03778235665785348,0.037698170654317166,0.03773049686503842,0.037687335286344055,0.037692019994263866
31,0.12994226841732612,0.038070219595573995,0.0379836134335129,0.03801701718459152,0.0379312138678277,0.03793605473267818
32,0.13413395449530438,0.03835808253329452,0.03826905621270864,0.03830353750414463,0.03820267714465021,0.03820976260707576
33,0.13832564057328264,0.03864594547101504,0.03855449899190436,0.038591629964884966,0.038491574097703686,0.03851246574556737
34,0.1425173266512609,0.03893819556385501,0.038916009893930514,0.03888355891391363,0.03878047105075718,0.03881516888405897
35,0.14670901272923917,0.03930101379910032,0.039289912831554696,0.03917548786294231,0.03908237149435957,0.03911787202255058
