,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
gamma,11.523,1.723,8.001,14.159,0.058,0.041,920.0,2087.0,1.0
S0,1.009,0.05,0.913,1.1,0.001,0.0,6579.0,4651.0,1.0
T0,0.072,0.05,0.0,0.146,0.002,0.001,990.0,2082.0,1.0
S1,0.178,0.048,0.095,0.274,0.001,0.001,1427.0,1841.0,1.0
