,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
gamma,7.829,0.895,6.0,9.336,0.019,0.013,2298.0,2827.0,1.0
S0,1.003,0.05,0.91,1.097,0.001,0.0,7474.0,5978.0,1.0
T0,0.06,0.034,0.0,0.117,0.001,0.0,2315.0,3192.0,1.0
S1,0.186,0.047,0.095,0.269,0.001,0.001,3666.0,3384.0,1.0
