,radius,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_500_08-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_500_06-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_500_05-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_500_09-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_500_07-1.tif
0,0.1,0.07466697087321013,0.10145462978105081,0.08844626659286153,0.1782507247723261,0.0893243396664869
1,0.2,0.07316333725342933,0.10180078066328396,0.09914280597759215,0.13073347071085215,0.08864026803306267
2,0.30000000000000004,0.0720989229260749,0.10155421205752653,0.09431531434074224,0.12229311059102911,0.09102209807306814
3,0.4,0.07301789413113495,0.10856558114559788,0.09472844710204545,0.12729866147584457,0.0882789317665687
4,0.5,0.08208196105657611,0.1334349028743821,0.10439494042972002,0.1469739325881123,0.0967258210699372
5,0.6000000000000001,0.12169102504646483,0.16693056625213126,0.11837691585418791,0.19169427934689776,0.12904114450923657
6,0.7000000000000001,0.33222048785242114,0.34878159518486473,0.164238921507475,0.41471470322425374,0.27405353428157503
7,0.8,0.5801064949289163,0.5543673140608809,0.38897199095177887,0.6123471541776844,0.5665319971355002
8,0.9,0.7120385061016703,0.73558508039259,0.5665294093764305,0.8051294032399176,0.7759072853541008
9,1.0,1.0,1.0,1.0,1.0,1.0
