,radius,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_400_02-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_400_03-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_400_01-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_400_04-1.tif
0,0.1,0.06392317415468247,0.07203987311789861,0.08700560867031275,0.07428249605326484
1,0.2,0.06744370684276241,0.0776513355696594,0.09060100894423818,0.07257272497907859
2,0.30000000000000004,0.07130236908124085,0.0787165154414786,0.09996733193048923,0.07476428817061209
3,0.4,0.08969170028175584,0.08471002775541163,0.116195583840381,0.17033928825635236
4,0.5,0.18851508106006973,0.096313448527006,0.17822941558268365,0.2918695211509278
5,0.6000000000000001,0.3412160824074506,0.14296088943238233,0.3489766820686095,0.4003030072253777
6,0.7000000000000001,0.4228600739736622,0.3459695360090784,0.4407723911031411,0.5158719619792189
7,0.8,0.48789479038755473,0.5582851281410484,0.5506906418127259,0.5551797524623275
8,0.9,0.6013754355607808,0.7396393340945724,0.6160972345978184,0.6146166477751817
9,1.0,1.0,1.0,1.0,1.0
