,radius,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_250_03-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_250_04-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_250_01-1.tif,MAX_Process_20240814_JC004_circle_CTRL_48hr_30X_250_02-1.tif
0,0.1,0.07964921549572923,0.14109729902614224,0.10833100379462497,0.07289935177858707
1,0.2,0.11015590106700865,0.1318254458896027,0.10715822364239364,0.0892168218537204
2,0.30000000000000004,0.117107919033213,0.15975680460831584,0.1307318957900885,0.14980121647732142
3,0.4,0.1861411969757256,0.21177543811090754,0.17444601727055034,0.22806557511111947
4,0.5,0.32174280807842615,0.284992024121223,0.2223898616725955,0.3146010261217904
5,0.6000000000000001,0.49037767137358484,0.3977929329575007,0.32057190279578573,0.41091303726749323
6,0.7000000000000001,0.5299424458707431,0.6248067692669059,0.49170358770911615,0.509050309413902
7,0.8,0.6489149176806586,0.793468534742753,0.7578422233704412,0.6320653570064463
8,0.9,0.8083956090391486,1.0,0.8428775246073904,0.8269464219876701
9,1.0,1.0,0.7027752527728824,1.0,1.0
