,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
gamma,10.42,0.724,9.002,11.681,0.01,0.007,5660.0,5110.0,1.0
S0,0.506,0.05,0.412,0.598,0.001,0.0,6692.0,4811.0,1.0
T0,0.004,0.004,0.0,0.011,0.0,0.0,2935.0,3439.0,1.0
S1,0.091,0.04,0.017,0.164,0.001,0.0,3499.0,4275.0,1.0
