triangle corner,triangle edge,square corner,square edge
150.354,87.228,95.634,57.262
119.821,71.361,98.155,52.785
116.972,78.409,104.328,57.33
118.387,85.208,91.566,57.832
139.083,69.44,99.712,73.817
125.733,77.308,95.047,63.602
147.682,,98.155,63.017
134.622,,95.882,63.079
139.818,,107.752,68.251
,,104.648,62.297
,,98.452,73.817
,,101.214,63.798
