,name,true_diameter,fitted_diameter,tbxt_prop,tbxt_size
0,MAX_Process_2023.08.18_RH001_20x_circle_400_01_01,350,307.42220000000003,0.33516336785057443,51.51832995201643
1,MAX_Process_2023.08.18_RH001_20x_circle_400_02_01,350,317.69100000000003,0.3210667314356394,51.00000548825986
2,MAX_Process_2023.08.18_RH001_20x_circle_500_01_01,500,465.94680000000005,0.21496358584861766,50.08079747134434
3,MAX_Process_2023.08.18_RH001_20x_circle_500_02_01,500,475.5738,0.31810867909969426,75.64207667
4,MAX_Process_20230817_RH001_20x_circle_size_01_01,500,478.7828,0.2862477478244029,68.52524909853076
5,MAX_Process_20230817_RH001_20x_circle_size_01_02,400,374.81120000000004,0.37310996730042206,69.92289728791597
6,MAX_Process_20230817_RH001_20x_circle_size_01_03,250,218.21200000000002,0.43563737323317975,47.530651243979314
7,MAX_Process_20230817_RH001_20x_circle_size_01_04,350,328.6016,0.42385415066015175,69.63957603678347
8,MAX_Process_2023.08.18_RH001_60x_circle_row11_01_01,250,214.428,0.5772800892047005,61.89250748399276
9,MAX_Process_2023.08.18_RH001_60x_circle_row12_01_01,250,211.646,0.42675996605566063,45.161019887908175
10,MAX_Process_20230927_RH001_24h_350_circle_3_01,350,321.678,0.24014133124850714,38.624091576678644
11,MAX_Process_20230928_RH001_40x_24h_350_circle_1_01,350,332.30400000000003,0.23455197591277255,38.971279901858985
12,MAX_Process_20230928_RH001_40x_30h_350_circle_1_01,350,305.90000000000003,0.3281451228107621,50.18979653390606
13,MAX_Process_20230928_RH001_40x_30h_350_circle_2_01,350,310.086,0.32066050744620567,49.71616705598207
14,MAX_Process_20230928_RH001_40x_30h_350_circle_3_01,350,305.90000000000003,0.23959342610413656,36.64581452262769
15,MAX_Process_20230928_RH001_40x_33h_350_circle_1_01,350,318.136,0.24072885027135185,38.29225675
16,MAX_Process_20230928_RH001_40x_33h_350_circle_2_01,350,316.526,0.28339774828288217,44.851377836493775
17,MAX_Process_20230928_RH001_40x_33h_350_circle_3_01,350,325.86400000000003,0.2527189079826506,41.17599711542923
18,MAX_Process_20230928_RH001_40x_36h_350_circle_3_01,350,312.34000000000003,0.26958843797174425,42.101626358047305
19,MAX_Process_20230822_RH001_20X_circle_36hr_rows5-12_01,250,233.61520000000002,0.43311638921121554,50.59128594442798
20,MAX_Process_20230822_RH001_20X_circle_36hr_rows5-12_02,350,331.16880000000003,0.4524385357618235,74.91676348100009
21,MAX_Process_20230822_RH001_20X_circle_36hr_rows5-12_03,350,323.4672,0.3603771891018923,58.285100151329814
22,MAX_Process_20230822_RH001_20X_circle_36hr_rows5-12_04,400,370.96040000000005,0.3139962326815855,58.24008403702702
23,MAX_Process_20230822_RH001_20X_circle_36hr_rows5-12_05,500,485.2008,0.29479035013946997,71.51625685997547
24,MAX_Process_20230822_RH001_20X_circle_36hr_rows5-12_06,500,478.7828,0.30354983575573113,72.66722015133453
25,MAX_Process_20230822_RH001_20X_circle_36hr_rows5-12_07,800,776.5780000000001,0.17308177708026024,67.20575014071717
26,MAX_Process_20230822_RH001_20X_circle_36hr_rows5-12_08,800,777.8616000000001,0.1768525335087523,68.78339733958585
27,MAX_Ryan_Nov2022_ExpA_24_1,400,381.3908,0.35335926480006175,67.38398634
28,MAX_Ryan_Nov2022_ExpB_27h_1,400,377.32480000000004,0.2250052369336369,42.45002801246858
29,MAX_Ryan_Nov2022_ExpB_27h_2,400,378.95120000000003,0.22661974185942496,42.93891156065966
30,MAX_Ryan_Nov2022_ExpB_27h_3,400,376.51160000000004,0.22845406898414566,43.00780351986553
